Port,TCP/UDP,Probe,Open,Open/Reset,Open/Timeout,Closed/Reset,Timeout,Total
8080,TCP,FourOhFourRequest,8220000,3140000,3380000,62070000,112370000,189180000
8081,TCP,GetRequest,7930000,1650000,2420000,40440000,206060000,258500000
443,TCP,HTTPOptions,7540000,10680000,10040000,61980000,118150000,208390000
587,TCP,Hello,7520000,1860000,3620000,15770000,217630000,246400000
135,TCP,SMBProgNeg,7420000,337530,1200000,19090000,274270000,302317530
8080,TCP,HTTPOptions,7290000,4250000,3600000,7950000,106390000,129480000
8085,TCP,GetRequest,6980000,1640000,2650000,53100000,217790000,282160000
110,TCP,GetRequest,6410000,1370000,5030000,7060000,102800000,122670000
111,TCP,RPCCheck,6280000,1420000,3010000,60780000,205800000,277290000
465,TCP,SSLSessionReq,6190000,1890000,4730000,15730000,215510000,244050000
5357,TCP,SSLSessionReq,5890000,1450000,2430000,16490000,216180000,242440000
5060,TCP,GetRequest,5300000,640620,8310000,7350000,106350000,127950620
110,TCP,SSLSessionReq,4570000,1000000,4040000,4970000,73500000,88080000
8085,TCP,FourOhFourRequest,4440000,699130,1760000,71090000,127040000,205029130
993,TCP,SSLv23SessionReq,4200000,926570,2520000,57290000,97750000,162686570
8081,TCP,FourOhFourRequest,4150000,1180000,1860000,56470000,101850000,165510000
111,UDP,RPCCheck,4140000,0,0,133260000,0,137400000
587,TCP,Help,4060000,875590,1950000,7580000,107620000,122085590
587,TCP,GenericLines,4030000,1250000,1900000,7280000,105840000,120300000
554,TCP,RTSPRequest,3640000,5660000,26210000,15640000,212700000,263850000
199,TCP,RPCCheck,3370000,2060000,3860000,76160000,340220000,425670000
49152,TCP,FourOhFourRequest,3250000,718230,5930000,64900000,125900000,200698230
3306,TCP,GetRequest,3090000,8320000,2570000,15610000,214150000,243740000
5357,TCP,GetRequest,3050000,2060000,1800000,8330000,107510000,122750000
81,TCP,GetRequest,2970000,1230000,2800000,15900000,215970000,238870000
8081,TCP,SIPOptions,2880000,951120,1840000,62010000,118370000,186051120
8008,TCP,GetRequest,2720000,1320000,2580000,15950000,214210000,236780000
